Status gurobi: 2
variable[x99] = 1.0	[43.0, 39.0]
variable[x100] = 1.0	[43.0, 41.0]
variable[x146] = 1.0	[47.0, 45.0]
variable[x159] = 1.0	[50.0, 44.0]
variable[x173] = 1.0	[52.0, 44.0]
variable[x185] = 2.0	[55.0, 44.0]
variable[x190] = 1.0	[62.0, 30.0]
variable[x192] = 1.0	[62.0, 37.0]
variable[x197] = 1.0	[63.0, 32.0]
variable[x201] = 1.0	[65.0, 26.0]
variable[x205] = 2.0	[67.0, 24.0]
variable[x210] = 1.0	[68.0, 24.0]
variable[x215] = 1.0	[70.0, 24.0]
variable[x219] = 2.0	[73.0, 24.0]
variable[x222] = 2.0	[74.0, 24.0]
variable[x224] = 1.0	[77.0, 23.0]
variable[x225] = 2.0	[79.0]
variable[x226] = 1.0	[81.0]
variable[x227] = 1.0	[82.0]
variable[x228] = 2.0	[83.0]
variable[x229] = 1.0	[84.0]
variable[x230] = 1.0	[85.0]
variable[x231] = 1.0	[86.0]
variable[x232] = 1.0	[89.0]
variable[x233] = 2.0	[91.0]
variable[x234] = 1.0	[92.0]
variable[x235] = 1.0	[96.0]
variable[x236] = 1.0	[97.0]
variable[x237] = 3.0	[100.0]
Optimal value gurobi = 38.0
